pos,age,log_adj
DF,16,-0.9096
DF,17,-0.6814
DF,18,-0.4862
DF,19,-0.3238
DF,20,-0.1943
DF,21,-0.0977
DF,22,-0.034
DF,23,-0.0031
DF,24,-0.0052
DF,25,-0.0402
DF,26,-0.108
DF,27,-0.2088
DF,28,-0.3424
DF,29,-0.5089
DF,30,-0.7083
DF,31,-0.9406
DF,32,-1.2058
DF,33,-1.5039
DF,34,-1.8349
DF,35,-2.1987
DF,36,-2.5955
DF,37,-3.0251
DF,38,-3.4877
DF,39,-3.9831
DF,40,-4.5114
DF,41,-5.0726
DF,42,-5.6667
FW,16,-1.049
FW,17,-0.8111
FW,18,-0.6037
FW,19,-0.4269
FW,20,-0.2806
FW,21,-0.165
FW,22,-0.0798
FW,23,-0.0253
FW,24,-0.0012
FW,25,-0.0078
FW,26,-0.0449
FW,27,-0.1126
FW,28,-0.2108
FW,29,-0.3396
FW,30,-0.499
FW,31,-0.6889
FW,32,-0.9093
FW,33,-1.1604
FW,34,-1.442
FW,35,-1.7541
FW,36,-2.0968
FW,37,-2.4701
FW,38,-2.874
FW,39,-3.3084
FW,40,-3.7733
FW,41,-4.2688
FW,42,-4.7949
GK,16,-1.3867
GK,17,-1.1011
GK,18,-0.8484
GK,19,-0.6286
GK,20,-0.4417
GK,21,-0.2877
GK,22,-0.1665
GK,23,-0.0783
GK,24,-0.023
GK,25,-0.0005
GK,26,-0.011
GK,27,-0.0544
GK,28,-0.1306
GK,29,-0.2397
GK,30,-0.3818
GK,31,-0.5567
GK,32,-0.7645
GK,33,-1.0053
GK,34,-1.2789
GK,35,-1.5854
GK,36,-1.9248
GK,37,-2.2971
GK,38,-2.7023
GK,39,-3.1404
GK,40,-3.6113
GK,41,-4.1152
GK,42,-4.652
MF,16,-0.9863
MF,17,-0.7463
MF,18,-0.5398
MF,19,-0.3666
MF,20,-0.2268
MF,21,-0.1204
MF,22,-0.0474
MF,23,-0.0078
MF,24,-0.0017
MF,25,-0.0289
MF,26,-0.0894
MF,27,-0.1834
MF,28,-0.3108
MF,29,-0.4716
MF,30,-0.6658
MF,31,-0.8934
MF,32,-1.1543
MF,33,-1.4487
MF,34,-1.7765
MF,35,-2.1376
MF,36,-2.5322
MF,37,-2.9601
MF,38,-3.4215
MF,39,-3.9162
MF,40,-4.4443
MF,41,-5.0059
MF,42,-5.6008
